comuna,longitud,latitud,nse,prop_apruebo_2020,boric_prop,kast_prop,yasna_prop,sichel_prop,artes_prop,meo_prop,parisi_prop
LA FLORIDA,-70.6119167,-33.5638618,16.303659927755245,0.8823529411764706,0.3597560975609756,0.1585365853658536,0.1219512195121951,0.1585365853658536,0.0121951219512195,0.1097560975609756,0.0792682926829268
EL BOSQUE,-70.66423329999998,-33.5792536,19.169830165835013,0.9289340101522844,0.4076923076923077,0.1076923076923077,0.0846153846153846,0.0923076923076923,0.0384615384615384,0.1,0.1692307692307692
SAN RAMON,-70.6452953,-33.523747,27.690757250220205,0.910377358490566,0.3985507246376812,0.1521739130434782,0.0869565217391304,0.0507246376811594,0.036231884057971,0.0942028985507246,0.181159420289855
ESTACION CENTRAL,-70.7112638,-33.4689845,20.632246595968248,0.8789808917197452,0.2620689655172414,0.2206896551724138,0.1862068965517241,0.0689655172413793,0.0068965517241379,0.1862068965517241,0.0689655172413793
PROVIDENCIA,-70.61611640000002,-33.432458000000004,78.24429045471406,0.5873015873015873,0.2162162162162162,0.4108108108108108,0.0864864864864864,0.2216216216216216,0.0054054054054054,0.0108108108108108,0.0486486486486486
ÑUÑOA,-70.5803213,-33.4535364,84.74806815761875,0.8285714285714286,0.3957219251336898,0.213903743315508,0.1443850267379679,0.160427807486631,0.0213903743315508,0.0641711229946524,0.0
PUENTE ALTO,-70.5612565,-33.5877594,72.31484156842906,0.88,0.4131736526946108,0.1676646706586826,0.0778443113772455,0.0838323353293413,0.0419161676646706,0.0838323353293413,0.1317365269461078
LA FLORIDA,-70.58570809999998,-33.5121007,46.17848134043717,0.8532608695652174,0.3511904761904761,0.1785714285714285,0.0892857142857142,0.1726190476190476,0.0059523809523809,0.125,0.0773809523809523
LA FLORIDA,-70.5826474,-33.5210266,72.35005913752198,0.8396226415094341,0.3945945945945946,0.2,0.0972972972972973,0.1459459459459459,0.0108108108108108,0.054054054054054,0.0972972972972973
ÑUÑOA,-70.5722947,-33.4568717,73.13051946039386,0.7513227513227513,0.2923076923076923,0.2666666666666666,0.1282051282051282,0.2717948717948718,0.0102564102564102,0.0205128205128205,0.0102564102564102
MAIPU,-70.74298859999998,-33.4821359,50.145269348167545,0.8491379310344828,0.3755458515283842,0.1790393013100436,0.1266375545851528,0.1790393013100436,0.0305676855895196,0.0698689956331877,0.0393013100436681
LA FLORIDA,-70.58083149999999,-33.5419399,61.94447971478018,0.8095238095238095,0.3333333333333333,0.2424242424242424,0.0757575757575757,0.1919191919191919,0.0252525252525252,0.0707070707070707,0.0606060606060606
SANTIAGO,-70.6594543,-33.4564267,89.44587691996988,0.7487179487179487,0.3922651933701657,0.287292817679558,0.1104972375690607,0.1325966850828729,0.0165745856353591,0.0331491712707182,0.0276243093922651
LO PRADO,-70.7132377,-33.4447654,36.95580232570928,0.8471337579617835,0.2627118644067797,0.1779661016949152,0.1694915254237288,0.1271186440677966,0.0254237288135593,0.1779661016949152,0.059322033898305
PUENTE ALTO,-70.5926661,-33.620867600000004,12.09092381507502,0.8695652173913043,0.3243243243243243,0.2072072072072072,0.1531531531531531,0.1351351351351351,0.036036036036036,0.09009009009009,0.054054054054054
LAS CONDES,-70.49629420000002,-33.3707828,88.15902344605287,0.5857142857142857,0.2083333333333333,0.359375,0.046875,0.3333333333333333,0.0104166666666666,0.0208333333333333,0.0208333333333333
SANTIAGO,-70.63198340000002,-33.4705362,55.55807724570116,0.8311688311688312,0.4508196721311475,0.2540983606557377,0.081967213114754,0.0901639344262295,0.0163934426229508,0.040983606557377,0.0655737704918032
LA FLORIDA,-70.6031897,-33.5594889,39.136442210693545,0.8315789473684211,0.28125,0.24375,0.1,0.14375,0.04375,0.08125,0.10625
MACUL,-70.59913940000001,-33.4864541,82.46352519618361,0.8081395348837209,0.2866666666666667,0.28,0.0733333333333333,0.2266666666666666,0.0066666666666666,0.0733333333333333,0.0533333333333333
