type,text
Tweet,"Mañana se vota:

- se vota por la esperanza
- se vota por la seguridad
- se vota por el futuro
- se vota por la paz
- se vota por la prosperidad
- se vota para reconstruir
- se vota para recuperar
- se vota para refrescar

Mañana se vota, se vota por Chile🇨🇱✌️"
Retweet,"La tenemos clara: vamos a defender nuestras ideas y las bases de la institucionalidad que han permitido a Chile crecer, pero también vamos a proponer y buscar acuerdos. Es muy inmaduro y de poco sentido común hablar de cancelaciones, sabiendo lo que provocó en el proceso pasado. https://t.co/p6H2nkuEbq"
Tweet,"Atención ‼️ Hoy es nuestro último #REConoceATuCandidato 
Hemos recorrido todo Chile y hoy cerramos con la región Metropolitana, para que conozcas a Luis, Macarena, Ignacio, Tabita, Jorge y Sylvia 💪🏻
¡Acompáñanos! #SoloQuedaRepublicanos https://t.co/EtQ2eWXfZe"
Tweet,"Cerrando las #GirasRepublicanas en la región de Tarapaca junto a nuestros candidatos @NinoskaEsther2 @spg319 @AndreaDuennas y @Leonard61989640 
Gracias a cada uno de los candidatos y sus equipos de Arica a Magallanes que se la han jugado por el @PRChile y por #Chile 🇨🇱 https://t.co/mCbPwGUJj6"
Tweet,Los #Republicanos de #Tarapacá vienen conmigo🎶 Este 07 de Mayo vota por tu candidato de la lista REpublicana para #REcuperarChile https://t.co/6xevP60Oxn
Retweet,"Seguimos en #Iquique 🌞🌊

EN VIVO, @joseantoniokast en #RadioAcierto 106.7 FM ¡No te lo pierdas!
📻 https://t.co/PCZP50avyM https://t.co/crzYmT9Nko"
Retweet,"#SoloQuedaRepublicanos 
En Aysen se vota Republicano!

@joseantoniokast @PRChile @UrrutiaporChile @SanCris90 @lvillegasojeda @AysenRepublican https://t.co/VEFHJhkQAV"
Tweet,"Un Presidente ausente: sin dirección, sin rumbo, sin voz.

Chile está en el suelo y este gobierno es incapaz de levantarlo.

 https://t.co/pkiGyeHj1x"
Tweet,"El gobierno está usando al Estado para frenar artificialmente el desempleo. ¿Cuántos operadores políticos, parientes y amigos del Presidente y sus Ministros están entrando en la nómina de sueldos del Fisco? ¿Cuánta plata que podría ser destinada a pensiones, seguridad y otros? https://t.co/aw7NsdE2ru"
Tweet,"Mañana termina la #Recampaña pero aún estas a tiempo !
Ingresa a https://t.co/CwfQ5O6yMQ con tu clave única
-  Busca en las opciones el Partido Republicano
- Ingresa el monto que quieras donar 
- Listo✔️✔️

¡Haz tu aporte! Y Juntos REconstruyamos Chile 🇨🇱💪🏼 https://t.co/lfBzAAtDYC"
